review_id,first_name,last_name,product_id,review_score,date
f892215b-913d-4d22-ac7a-8993287a9b45,Cornela,Mynett,21,3,05/22/2022
3e208e03-054c-45c6-82b3-2aeda4f96283,Rip,Brookton,10,2,04/23/2022
81e76aae-1ae9-46d9-815a-f6b8d582ad24,Giffard,Leat,19,3,01/17/2021
31b48d3d-22ca-4846-b876-93bb6f8567ed,Dwain,Glencross,9,4,07/31/2021
afdef913-310b-4114-bd43-e52f7e2bbf05,Gardener,Tawton,4,5,06/23/2021
76df6f43-9a8d-486a-a8a0-e8cdb6896492,Law,Harte,21,2,09/02/2021
5238a4e9-8f60-4ced-b4b9-0a83ecccaba9,Nola,De Micoli,24,5,05/04/2021
ed31fdbe-3659-4ae7-bf7f-8a8210f8f555,Donnie,Ashlin,4,1,01/05/2021
c1ed76c3-434e-4dac-9a2d-be96a20c2e04,Myrtia,Smye,18,1,04/22/2021
6c601eb0-5b93-4e0d-b6b4-919497011663,Pen,Aingell,5,4,11/19/2021
9b12e544-bc25-463b-ab39-d89e77d06330,Amitie,Peirazzi,2,1,10/02/2021
999d08dd-4979-40d1-85db-e1f333e7a938,Korry,Lochrie,20,1,06/07/2022
c82c374f-6644-4cd2-abd9-51da289082f6,Ingaberg,Bassill,11,5,07/12/2021
674e9812-075d-4fe1-aeb0-0f8908e7a659,Freddy,Brahms,24,5,03/27/2021
1ad1e874-fdbd-44a1-ada1-a245fd601f94,Goldarina,Bembridge,25,3,05/10/2022
5c91c4c2-fe27-48a3-bf3c-993e9b654754,Silvanus,Reinert,14,2,06/08/2021
1be52c4a-4b27-4411-ae44-2ec6e54c65ef,Gardener,Kilfeder,9,3,08/03/2021
e519c679-df67-48bb-956e-5f7143b7530c,Meier,Baribal,10,3,08/03/2021
acc38254-927b-4b50-8f66-579a575fee74,Crystal,Motten,23,5,05/20/2021
26cbc48b-42a5-4498-a38d-d91337dd0cd0,Clerissa,Elwin,18,3,11/05/2021
6ea61738-eea4-4a60-9c60-bec01f55baeb,Sarajane,Deetch,18,1,08/26/2021
c1e3a552-6d38-4814-a3d2-0ad062699c30,Alfie,Wrankmore,12,3,06/15/2021
982e5160-2ce3-4a97-bcac-7887390fd6e2,Karry,Lightowlers,8,3,01/18/2021
808b269e-f924-4fc8-8188-a949ac2b0b08,Bronnie,Cristofvao,21,5,11/16/2021
